S.no,Instagram_name,Name,Subscribers,Audience_country,Authentic_engagement,Engagement_average,Category_1,Category_2,Engagement_Rate,Subscribers_Scaled,Authentic_Engagement_Scaled,Category_Weight,Influencer_Score
620,centralcee,📲,4400000.0,United Kingdom,373400.0,914700.0,Lifestyle,0,0.20788636363636365,0.004589682393978337,0.029401574803149606,0.7,0.16041176513336888
65,johnnydepp,Johnny Depp,27600000.0,India,1900000.0,2500000.0,Cinema & Actors/actresses,0,0.09057971014492754,0.0471819350100973,0.1496062992125984,0.8,0.1603077244035199
194,do0_nct,Doyoung,10500000.0,Indonesia,1300000.0,1700000.0,Lifestyle,0,0.1619047619047619,0.01578850743528548,0.10236220472440945,0.7,0.1599708979373723
132,_jeongjaehyun,Jaehyun,12400000.0,Indonesia,1900000.0,2300000.0,0,0,0.18548387096774194,0.019276666054709016,0.1496062992125984,0.5,0.15989780804602916
217,taeoxo_nct,TAEYONG,9600000.0,Indonesia,1200000.0,1600000.0,Lifestyle,0,0.16666666666666666,0.014136221773453276,0.09448818897637795,0.7,0.15980517099397823
398,hshq,Harry Styles HQ,6600000.0,United States,638500.0,1100000.0,Cinema & Actors/actresses,Fashion,0.16666666666666666,0.008628602900679273,0.0502755905511811,0.8,0.15931036564710668
429,mingue.k,김민규,6100000.0,Indonesia,926100.0,1100000.0,Lifestyle,0,0.18032786885245902,0.007710666421883606,0.07292125984251968,0.7,0.15902859943605263
70,fcbarcelona,FC Barcelona,111900000.0,Indonesia,383800.0,585400.0,Sports with a ball,0,0.005231456657730116,0.20194602533504682,0.03022047244094488,0.9,0.15872048475179507
102,tchalamet,Timothée Chalamet,17800000.0,United States,1300000.0,2200000.0,Cinema & Actors/actresses,0,0.12359550561797752,0.029190380025702223,0.10236220472440945,0.8,0.1586677571997836
90,hardikpandya93,Hardik Himanshu Pandya,23000000.0,India,1500000.0,1900000.0,Sports with a ball,0,0.08260869565217391,0.038736919405177164,0.11811023622047244,0.9,0.15828660132651723
299,alidaei,Ali Daei,9100000.0,Iran,722800.0,1200000.0,Sports with a ball,0,0.13186813186813187,0.013218285294657609,0.056913385826771655,0.9,0.15809541550100437
367,todayis_wendy,Wendy,7100000.0,Indonesia,992000.0,1200000.0,Lifestyle,0,0.16901408450704225,0.00954653937947494,0.07811023622047245,0.7,0.1560916428607539
64,ester_exposito,Ester 🌙,29200000.0,Mexico,1700000.0,2500000.0,Cinema & Actors/actresses,0,0.08561643835616438,0.050119331742243436,0.13385826771653542,0.8,0.1560540284084459
933,antony00,Antony Santos,4000000.0,Brazil,322400.0,595700.0,Sports with a ball,0,0.148925,0.0038553332109418025,0.025385826771653543,0.9,0.15580376531761325
163,jacobelordi,Jacob Elordi,13200000.0,Brazil,1100000.0,1700000.0,Cinema & Actors/actresses,0,0.12878787878787878,0.020745364420782085,0.08661417322834646,0.8,0.15506159548705545
466,vinniehacker,†,5900000.0,United States,506600.0,1100000.0,Lifestyle,0,0.1864406779661017,0.007343491830365338,0.039889763779527555,0.7,0.1547572714914558
795,shxxbi131,B.I,4000000.0,Indonesia,620400.0,726600.0,Lifestyle,0,0.18165,0.0038553332109418025,0.0488503937007874,0.7,0.15358667870344
924,gongyoo_official,공유 gongyoo official,3600000.0,Indonesia,531800.0,668000.0,Lifestyle,0,0.18555555555555556,0.003120984027905269,0.0418740157480315,0.7,0.1535333205802001
850,maitreyiramakrishnan,Maitreyi Ramakrishnan,3800000.0,Brazil,485400.0,710100.0,Photography,Cinema & Actors/actresses,0.18686842105263157,0.0034881586194235362,0.03822047244094488,0.7,0.15343791049506866
264,johnnyjsuh,Johnny Suh,8800000.0,Indonesia,1000000.0,1400000.0,Lifestyle,0,0.1590909090909091,0.012667523407380211,0.07874015748031496,0.7,0.1531846521546407
423,_seorina,설인아 sᴇᴏʀɪɴᴀ,6600000.0,South Korea,858300.0,1100000.0,Lifestyle,Cinema & Actors/actresses,0.16666666666666666,0.008628602900679273,0.06758267716535434,0.7,0.15277178296994132
137,casemiro,Casemiro,17400000.0,Brazil,1100000.0,1600000.0,Sports with a ball,0,0.09195402298850575,0.02845603084266569,0.08661417322834646,0.9,0.1526412530938713
198,enhypen,ENHYPEN,10900000.0,Indonesia,1200000.0,1600000.0,Lifestyle,0,0.14678899082568808,0.016522856618322014,0.09448818897637795,0.7,0.1525700911110474
951,tontawan,ตู / t u 🌻(•ө•)ෆ⃛,3800000.0,Thailand,459100.0,603800.0,Beauty,Lifestyle,0.15889473684210526,0.0034881586194235362,0.0361496062992126,0.8,0.1518342635825117
951,tontawan,ตู / t u 🌻(•ө•)ෆ⃛,3800000.0,Thailand,459100.0,603800.0,Beauty,Lifestyle,0.15889473684210526,0.0034881586194235362,0.0361496062992126,0.8,0.1518342635825117
719,jxxvvxxk,이재욱,3900000.0,Indonesia,694300.0,872800.0,0,0,0.22379487179487179,0.0036717459151826694,0.05466929133858268,0.5,0.15155333076022004
204,serna_amini,Serna Amini,9600000.0,Iran,1400000.0,1800000.0,0,0,0.1875,0.014136221773453276,0.11023622047244094,0.5,0.1512881106265242
44,willsmith,Will Smith,63700000.0,United States,1600000.0,1900000.0,Cinema & Actors/actresses,0,0.029827315541601257,0.1134569487791445,0.12598425196850394,0.8,0.15116486124408465
427,yejinhand,손예진,7100000.0,Indonesia,757900.0,986800.0,Cinema & Actors/actresses,0,0.13898591549295775,0.00954653937947494,0.05967716535433071,0.8,0.15039376108189173
386,dntlrdl,CHOIWOOSHIK,6900000.0,Indonesia,850600.0,1100000.0,Lifestyle,0,0.15942028985507245,0.009179364787956673,0.0669763779527559,0.7,0.14991720096896716
112,antonelaroccuzzo,Antonela Roccuzzo,20200000.0,Argentina,1000000.0,1700000.0,Modeling,Family,0.08415841584158416,0.03359647512392142,0.07874015748031496,0.9,0.1494903403698731
53,gigihadid,Gigi Hadid,75400000.0,United States,795500.0,1200000.0,Modeling,Lifestyle,0.015915119363395226,0.13493666238296312,0.06263779527559055,0.9,0.14937460551536513
165,leedongwook_official,이동욱 (Official_Instagram),14800000.0,Indonesia,1200000.0,1600000.0,Cinema & Actors/actresses,0,0.10810810810810811,0.02368276115292822,0.09448818897637795,0.8,0.14924570938439732
103,championsleague,UEFA Champions League,97600000.0,Brazil,285700.0,389300.0,Sports with a ball,0,0.003988729508196722,0.17569304204149075,0.022496062992125983,0.9,0.14880261701415112
587,theellenshow,Ellen DeGeneres,125100000.0,United States,28400.0,34200.0,Shows,Cinema & Actors/actresses,0.0002733812949640288,0.22617954837525245,0.002236220472440945,0.8,0.14841046112504955
824,dominicfike,0,3500000.0,United States,417800.0,795100.0,0,0,0.22717142857142858,0.002937396732146136,0.03289763779527559,0.5,0.1483293180072704
59,blakelively,Blake Lively,35000000.0,United States,1500000.0,2300000.0,Cinema & Actors/actresses,0,0.06571428571428571,0.060767394896273176,0.11811023622047244,0.8,0.14813797999869074
86,ursulolita,Úrsula Corberó ✨,23700000.0,Brazil,1400000.0,2000000.0,Cinema & Actors/actresses,Modeling,0.08438818565400844,0.0400220304754911,0.11023622047244094,0.8,0.14780912749873892
471,xuminghao_o,The8 디에잇,5400000.0,Indonesia,908900.0,1100000.0,0,0,0.2037037037037037,0.00642555535156967,0.07156692913385826,0.5,0.14772253391372403
58,k.mbappe,Kylian Mbappé,72600000.0,France,797200.0,1100000.0,Sports with a ball,0,0.015151515151515152,0.12979621810170738,0.06277165354330709,0.9,0.1475538021997797
214,iamferv,fer,10600000.0,Mexico,994000.0,1500000.0,Lifestyle,0,0.14150943396226415,0.015972094731044613,0.07826771653543307,0.7,0.14704894531130563
